email,name,team,description,skills,social
user.user.1@example.com,User 1,Development,"User 1 is a seasoned frontend developer with a passion for creating intuitive user interfaces.","JavaScript,Vue.js,CSS,HTML","https://linkedin.com/in/user1,https://github.com/user1"
user.user.2@example.com,User 2,Marketing,"User 2 is a creative marketing specialist who excels in digital campaigns and brand strategy.","SEO,Content Marketing,Social Media","https://dribbble.com/user2,https://behance.net/user2"
user.user.3@example.com,User 3,Design,"User 3 is a talented UI/UX designer with a keen eye for detail.","Figma,Sketch,Adobe XD","https://twitter.com/user3,https://github.com/user3"
user.user.4@example.com,User 4,Engineering,"User 4 is a backend engineer with expertise in building scalable server-side applications.","Node.js,Python,SQL,MongoDB","https://linkedin.com/in/user4,https://dribbble.com/user4"
user.user.5@example.com,User 5,Product,"User 5 is a product manager who bridges the gap between technical teams and customer needs.","Agile,Scrum,Product Roadmapping","https://behance.net/user5,https://twitter.com/user5"
user.user.6@example.com,User 6,Operations,"User 6 ensures that day-to-day operations run smoothly and efficiently.","Logistics,Operations Management,Excel,Strategy","https://linkedin.com/in/user6,https://github.com/user6"
user.user.7@example.com,User 7,Support,"User 7 is a tech support specialist who helps users resolve issues quickly and effectively.","Customer Support,Troubleshooting,CRM","https://dribbble.com/user7,https://behance.net/user7"
user.user.8@example.com,User 8,Finance,"User 8 is a financial analyst with a strong grasp of budgeting and forecasting.","Budgeting,Forecasting,Excel,Finance","https://twitter.com/user8,https://github.com/user8"
user.user.9@example.com,User 9,Legal,"User 9 ensures compliance and manages legal risk for the company.","Corporate Law,Contracts,Compliance","https://linkedin.com/in/user9,https://dribbble.com/user9"
user.user.10@example.com,User 10,HR,"User 10 leads the HR team, focusing on employee engagement, hiring, and company culture.","Recruitment,HR Management,Onboarding","https://behance.net/user10,https://twitter.com/user10"
user.user.11@example.com,User 11,IT,"User 11 is an IT administrator maintaining company infrastructure and security.","Networking,Cybersecurity,IT Support","https://github.com/user11,https://linkedin.com/in/user11"
user.user.12@example.com,User 12,Analytics,"User 12 analyzes business data to generate insights that inform decisions.","Data Analysis,SQL,Tableau,Python","https://dribbble.com/user12,https://behance.net/user12"
